"Date","MinDO","Location","TimeStamp"
2015-03-06,13.8667,"Upstream1","Before"
2015-03-07,14.2367,"Upstream1","Before"
2015-03-08,14.0533,"Upstream1","Before"
2015-03-09,14.0067,"Upstream1","Before"
2015-03-10,13.82,"Upstream1","Before"
2015-03-11,12.9533,"Upstream1","Before"
2015-03-12,12.8533,"Upstream1","Before"
2015-03-13,12.7733,"Upstream1","Before"
2015-03-14,12.3067,"Upstream1","Before"
2015-03-15,12.2033,"Upstream1","Before"
2015-03-16,12.02,"Upstream1","Before"
2015-03-17,11.9,"Upstream1","Before"
2015-03-18,11.5767,"Upstream1","Before"
2015-03-19,11.47,"Upstream1","Before"
2015-03-20,11.4633,"Upstream1","Before"
2015-03-21,11.48,"Upstream1","Before"
2015-03-22,11.3833,"Upstream1","Before"
2015-03-23,11.3733,"Upstream1","Before"
2015-03-24,11.9833,"Upstream1","Before"
2015-03-25,11.93,"Upstream1","Before"
2015-03-26,11.3233,"Upstream1","Before"
2015-03-27,11.4133,"Upstream1","Before"
2015-03-28,11.3567,"Upstream1","Before"
2015-03-29,11.3467,"Upstream1","Before"
2015-03-30,11.2767,"Upstream1","Before"
2015-03-31,11.01,"Upstream1","Before"
2015-04-01,10.8167,"Upstream1","Before"
2015-04-02,10.89,"Upstream1","Before"
2015-04-03,9.98667,"Upstream1","Before"
2015-04-04,10.0433,"Upstream1","Before"
2015-04-05,10.1,"Upstream1","Before"
2015-04-06,10.2833,"Upstream1","Before"
2015-04-07,10.0367,"Upstream1","Before"
2015-04-08,9.82,"Upstream1","Before"
2015-04-09,9.46333,"Upstream1","Before"
2015-04-10,8.59333,"Upstream1","Before"
2015-04-11,9.71,"Upstream1","Before"
2015-04-12,9.86333,"Upstream1","Before"
2015-04-13,10.1367,"Upstream1","Before"
2015-04-14,10.01,"Upstream1","Before"
2015-04-15,9.45667,"Upstream1","Before"
2015-04-16,9.82333,"Upstream1","Before"
2015-04-17,9.71667,"Upstream1","Before"
2015-04-18,9.52667,"Upstream1","Before"
2015-04-19,9.4,"Upstream1","Before"
2015-04-20,7.95,"Upstream1","Before"
2015-04-21,8.30333,"Upstream1","Before"
2015-04-22,9.68333,"Upstream1","Before"
2015-04-23,9.81667,"Upstream1","Before"
2015-04-24,9.57667,"Upstream1","Before"
2015-04-25,9.42,"Upstream1","Before"
2015-04-26,9.37,"Upstream1","Before"
2015-04-27,9.20667,"Upstream1","Before"
2015-04-28,8.97667,"Upstream1","Before"
2015-04-29,8.95667,"Upstream1","Before"
2015-04-30,8.70333,"Upstream1","Before"
2015-05-01,8.60667,"Upstream1","Before"
2015-05-02,8.67667,"Upstream1","Before"
2015-05-03,8.54,"Upstream1","Before"
2015-05-04,8.38333,"Upstream1","Before"
2015-05-05,8.60667,"Upstream1","Before"
2015-05-06,8.42333,"Upstream1","Before"
2015-05-07,8.12333,"Upstream1","Before"
2015-05-08,7.63333,"Upstream1","Before"
2015-05-09,7.42333,"Upstream1","Before"
2015-05-10,7.29667,"Upstream1","Before"
2015-05-11,7.10333,"Upstream1","Before"
2015-05-12,7.03667,"Upstream1","Before"
2015-05-13,7.23,"Upstream1","Before"
2015-05-14,7.70333,"Upstream1","Before"
2015-05-15,7.18333,"Upstream1","Before"
2015-05-16,7.33,"Upstream1","Before"
2015-05-17,7.17,"Upstream1","Before"
2015-05-18,7.05667,"Upstream1","Before"
2015-05-19,6.80333,"Upstream1","Before"
2015-05-20,6.37667,"Upstream1","Before"
2015-05-21,6.35,"Upstream1","Before"
2015-05-22,6.93667,"Upstream1","Before"
2015-05-23,6.91667,"Upstream1","Before"
2015-05-24,6.97,"Upstream1","Before"
2015-05-25,6.92333,"Upstream1","Before"
2015-05-26,6.88333,"Upstream1","Before"
2015-05-27,6.75667,"Upstream1","Before"
2015-05-28,6.72333,"Upstream1","Before"
2015-05-29,6.81333,"Upstream1","Before"
2015-05-30,6.84,"Upstream1","Before"
2015-05-31,6.74,"Upstream1","Before"
2015-06-01,6.61,"Upstream1","Before"
2015-06-02,6.60667,"Upstream1","Before"
2015-06-03,6.64667,"Upstream1","Before"
